player_id,player_name,games,time,goals,shots,key_passes,yellow_cards,red_cards,position,team_name
8865,Ollie Watkins,9,810,6,22,12,0,0,F,Aston Villa
675,Jack Grealish,9,810,5,26,26,2,0,F M,Aston Villa
592,Ross Barkley,6,454,2,17,15,0,0,M,Aston Villa
1024,Tyrone Mings,9,810,2,7,2,2,0,D,Aston Villa
7726,Ezri Konsa Ngoyo,9,810,2,7,0,0,0,D,Aston Villa
7721,Conor Hourihane,4,236,1,5,5,0,0,M S,Aston Villa
7723,John McGinn,9,810,1,10,15,3,0,M,Aston Villa
695,Bertrand Traoré,7,147,0,5,2,0,0,M S,Aston Villa
884,Matt Targett,9,810,0,3,9,3,0,D,Aston Villa
1053,Keinan Davis,1,24,0,0,1,0,0,S,Aston Villa
1685,Ahmed Elmohamady,3,30,0,0,1,0,0,S,Aston Villa
4401,Emiliano Martinez,9,810,0,0,0,0,0,GK,Aston Villa
5612,Anwar El Ghazi,3,31,0,0,1,0,0,S,Aston Villa
6122,Douglas Luiz,9,789,0,8,8,2,0,M,Aston Villa
7722,Trézéguet,9,735,0,22,9,0,0,F M S,Aston Villa
8040,Marvelous Nakamba,2,8,0,1,0,1,0,S,Aston Villa
8864,Matthew Cash,9,780,0,2,6,4,0,D,Aston Villa
8941,Jacob Ramsey,1,9,0,0,0,0,0,S,Aston Villa
5555,Dominic Calvert-Lewin,11,973,11,36,7,1,0,F,Everton
2249,James Rodríguez,10,861,3,22,25,1,0,F,Everton
1653,Michael Keane,11,990,2,5,2,0,0,D,Everton
1726,Abdoulaye Doucouré,11,922,1,10,11,3,0,M,Everton
6026,Richarlison,8,642,1,25,10,1,1,F,Everton
6521,Yerry Mina,9,810,1,3,0,1,0,D,Everton
7063,Bernard,4,168,1,2,5,1,0,F S,Everton
500,Alex Iwobi,10,420,0,2,6,0,0,D F S,Everton
503,Theo Walcott,1,10,0,0,0,0,0,S,Everton
585,Seamus Coleman,6,450,0,2,3,0,0,D,Everton
714,Gylfi Sigurdsson,10,396,0,8,6,0,0,M S,Everton
741,Jordan Pickford,10,900,0,0,1,0,0,GK,Everton
876,Fabian Delph,5,206,0,1,1,0,0,D M S,Everton
985,Mason Holgate,2,174,0,1,0,1,0,D,Everton
1042,Tom Davies,5,169,0,0,1,0,0,D M S,Everton
1084,Jonjoe Kenny,1,78,0,0,0,0,0,D,Everton
1304,Moise Kean,2,10,0,1,0,0,0,S,Everton
1379,Allan,10,900,0,4,6,4,0,M,Everton
1823,Lucas Digne,8,703,0,3,15,0,1,D,Everton
2383,André Gomes,7,457,0,3,4,1,0,M S,Everton
6477,Cenk Tosun,3,27,0,0,1,2,0,S,Everton
6962,Robin Olsen,1,90,0,0,0,0,0,GK,Everton
7689,Ben Godfrey,5,420,0,0,1,0,0,D S,Everton
8109,Niels Nkounkou,1,70,0,1,0,1,0,D,Everton
8150,Anthony Gordon,1,31,0,0,0,0,0,S,Everton
986,Danny Ings,8,669,6,17,7,0,0,F S,Southampton
843,James Ward-Prowse,11,990,4,10,18,2,0,M,Southampton
111,Jannik Vestergaard,10,852,3,5,2,0,0,D S,Southampton
7700,Che Adams,11,961,3,20,13,1,0,F,Southampton
503,Theo Walcott,6,519,1,14,6,0,0,F M,Southampton
842,Oriol Romeu,11,957,1,9,8,4,0,M,Southampton
6042,Jan Bednarek,11,905,1,5,1,0,0,D,Southampton
6893,Stuart Armstrong,9,788,1,11,10,0,0,M,Southampton
7701,Moussa Djenepo,8,512,1,8,4,2,0,M S,Southampton
635,Alex McCarthy,11,990,0,0,0,1,0,GK,Southampton
790,Nathan Redmond,6,328,0,7,2,0,0,M S,Southampton
835,Ryan Bertrand,10,890,0,2,7,1,0,D,Southampton
839,Shane Long,8,47,0,1,0,0,0,S,Southampton
885,Kyle Walker-Peters,11,990,0,6,4,3,0,D,Southampton
1735,Jack Stephens,4,313,0,1,2,1,0,D S,Southampton
6504,Michael Obafemi,1,12,0,0,0,0,0,S,Southampton
6736,Ibrahima Diallo,5,16,0,0,1,1,0,S,Southampton
7983,Daniel N&#039;Lundulu,2,2,0,0,0,0,0,S,Southampton
8224,William Smallbone,2,111,0,0,0,0,0,M S,Southampton
8456,Nathan Tella,3,42,0,1,0,0,0,S,Southampton
755,Jamie Vardy,10,829,9,23,7,1,0,F S,Leicester
5956,Youri Tielemans,11,990,3,14,5,3,0,M,Leicester
6681,Harvey Barnes,10,720,3,23,5,0,0,F M S,Leicester
770,Ayoze Pérez,5,358,1,8,4,1,0,F M,Leicester
1234,Dennis Praet,10,584,1,6,6,0,0,M S,Leicester
6157,Timothy Castagne,6,540,1,2,5,1,0,D,Leicester
6818,James Maddison,10,538,1,13,13,2,0,M S,Leicester
7753,James Justin,11,990,1,5,4,2,0,D,Leicester
620,Kelechi Iheanacho,5,140,0,5,3,0,0,F S,Leicester
745,Kasper Schmeichel,11,990,0,0,0,0,0,GK,Leicester
748,Wes Morgan,3,13,0,0,0,0,0,S,Leicester
749,Christian Fuchs,7,523,0,3,1,2,0,D S,Leicester
753,Marc Albrighton,7,342,0,3,4,0,0,D S,Leicester
759,Daniel Amartey,2,146,0,0,0,1,0,D,Leicester
807,Jonny Evans,8,710,0,1,1,4,0,D,Leicester
1682,Islam Slimani,1,17,0,1,1,0,0,S,Leicester
1785,Nampalys Mendy,11,943,0,1,2,3,0,M,Leicester
5264,Caglar Söyüncü,4,360,0,2,2,1,0,D,Leicester
5545,Wilfred Ndidi,3,199,0,0,1,0,0,D S,Leicester
6162,Cengiz Ünder,5,134,0,2,5,0,0,S,Leicester
6418,Hamza Choudhury,2,11,0,0,0,0,0,S,Leicester
7589,Wesley Fofana,7,630,0,2,1,2,0,D,Leicester
8562,Luke Thomas,3,186,0,1,0,1,0,D,Leicester
4476,Callum Robinson,11,541,2,11,5,0,0,F S,West Bromwich Albion
9040,Conor Gallagher,7,630,2,10,8,3,0,M,West Bromwich Albion
964,Kyle Bartley,8,720,1,6,0,1,0,D,West Bromwich Albion
6651,Grady Diangana,10,707,1,10,4,0,0,F M S,West Bromwich Albion
7153,Matheus Pereira,10,795,1,17,22,1,1,M,West Bromwich Albion
7390,Karlan Grant,7,539,1,11,2,0,0,F,West Bromwich Albion
545,Kieran Gibbs,2,135,0,0,1,0,1,D,West Bromwich Albion
682,Branislav Ivanovic,6,530,0,4,1,1,0,D,West Bromwich Albion
978,Sam Johnstone,11,990,0,0,0,0,0,GK,West Bromwich Albion
1013,Sam Field,3,56,0,0,0,0,0,S,West Bromwich Albion
1689,Jake Livermore,8,662,0,4,3,2,0,M,West Bromwich Albion
1737,Matt Phillips,8,162,0,2,6,1,0,M S,West Bromwich Albion
1738,Hal Robson-Kanu,5,130,0,4,1,0,0,S,West Bromwich Albion
3979,Ahmed Hegazy,1,90,0,0,0,0,0,D,West Bromwich Albion
4391,Darnell Furlong,10,880,0,9,8,1,0,D M,West Bromwich Albion
4490,Semi Ajayi,10,900,0,0,0,1,0,D,West Bromwich Albion
5562,Rekeem Harper,1,20,0,0,0,0,0,S,West Bromwich Albion
8756,Dara O&#039;Shea,6,458,0,2,3,0,0,D S,West Bromwich Albion
8757,Romaine Sawyers,9,606,0,2,3,2,0,M S,West Bromwich Albion
8758,Kyle Edwards,5,110,0,2,1,0,0,M S,West Bromwich Albion
8905,Conor Townsend,8,707,0,3,4,0,0,D M,West Bromwich Albion
8966,Filip Krovinovic,8,423,0,7,4,0,0,M S,West Bromwich Albion
522,Wilfried Zaha,9,803,7,24,13,2,0,F,Crystal Palace
606,Christian Benteke,7,138,2,10,4,0,0,F S,Crystal Palace
512,Scott Dann,6,540,1,2,1,1,0,D,Crystal Palace
