Date,Time,Consumption,Wind,Solar
2006-01-01,16:34:01.310990,1069.1840000000002,,
2006-01-02,17:34:01.310990,1380.5210000000002,,
2006-01-03,18:34:01.310990,1442.533,,
2006-01-04,19:34:01.310990,1457.217,,
2006-01-05,20:34:01.310990,1477.131,,
2006-01-06,21:34:01.310990,1403.427,,
2006-01-07,22:34:01.310990,1300.2870000000005,,
2006-01-08,23:34:01.310990,1207.9849999999997,,
2006-01-09,00:34:01.310990,1529.3229999999996,,
2006-01-10,01:34:01.310990,1576.911,,
2006-01-11,02:34:01.310990,1577.1759999999997,,
2006-01-12,03:34:01.310990,1553.28,,
2006-01-13,04:34:01.310990,1545.0019999999995,,
2006-01-14,05:34:01.310990,1359.945,,
2006-01-15,06:34:01.310990,1265.475,,
2006-01-16,07:34:01.310990,1563.738,,
2006-01-17,08:34:01.310990,1598.303,,
2006-01-18,09:34:01.310990,1572.9840000000004,,
2006-01-19,10:34:01.310990,1558.29,,
2006-01-20,11:34:01.310990,1540.6039999999998,,
2006-01-21,12:34:01.310990,1348.188,,
2006-01-22,13:34:01.310990,1248.111,,
2006-01-23,14:34:01.310990,1569.691,,
2006-01-24,15:34:01.310990,1603.2520000000006,,
2006-01-25,16:34:01.310990,1613.3119999999997,,
2006-01-26,17:34:01.310990,1601.6729999999995,,
2006-01-27,18:34:01.310990,1586.0649999999998,,
2006-01-28,19:34:01.310990,1373.0300000000002,,
2006-01-29,20:34:01.310990,1252.2149999999997,,
2006-01-30,21:34:01.310990,1554.7219999999998,,
2006-01-31,22:34:01.310990,1575.1290000000004,,
2006-02-01,23:34:01.310990,1582.1340000000002,,
2006-02-02,00:34:01.310990,1595.7169999999996,,
2006-02-03,01:34:01.310990,1577.786,,
2006-02-04,02:34:01.310990,1366.322,,
2006-02-05,03:34:01.310990,1258.013,,
2006-02-06,04:34:01.310990,1557.5250000000003,,
2006-02-07,05:34:01.310990,1606.6669999999997,,
2006-02-08,06:34:01.310990,1590.8960000000002,,
2006-02-09,07:34:01.310990,1599.129,,
2006-02-10,08:34:01.310990,1554.631,,
2006-02-11,09:34:01.310990,1346.1040000000005,,
2006-02-12,10:34:01.310990,1232.568,,
2006-02-13,11:34:01.310990,1521.456,,
2006-02-14,12:34:01.310990,1551.3730000000005,,
2006-02-15,13:34:01.310990,1562.656,,
2006-02-16,14:34:01.310990,1523.7190000000005,,
2006-02-17,15:34:01.310990,1495.913,,
2006-02-18,16:34:01.310990,1297.3850000000002,,
2006-02-19,17:34:01.310990,1173.0500000000004,,
2006-02-20,18:34:01.310990,1501.246,,
2006-02-21,19:34:01.310990,1544.112,,
2006-02-22,20:34:01.310990,1543.1070000000002,,
2006-02-23,21:34:01.310990,1523.4910000000002,,
2006-02-24,22:34:01.310990,1507.2350000000004,,
2006-02-25,23:34:01.310990,1309.603,,
2006-02-26,00:34:01.310990,1204.7659999999998,,
2006-02-27,01:34:01.310990,1444.899,,
2006-02-28,02:34:01.310990,1507.4899999999998,,
2006-03-01,03:34:01.310990,1531.1729999999998,,
2006-03-02,04:34:01.310990,1539.9510000000002,,
2006-03-03,05:34:01.310990,1510.8839999999998,,
2006-03-04,06:34:01.310990,1323.303,,
2006-03-05,07:34:01.310990,1220.395,,
2006-03-06,08:34:01.310990,1502.1910000000005,,
2006-03-07,09:34:01.310990,1514.0119999999995,,
2006-03-08,10:34:01.310990,1545.834,,
2006-03-09,11:34:01.310990,1498.4439999999995,,
2006-03-10,12:34:01.310990,1475.327,,
2006-03-11,13:34:01.310990,1320.3680000000002,,
2006-03-12,14:34:01.310990,1218.4070000000002,,
2006-03-13,15:34:01.310990,1494.832,,
2006-03-14,16:34:01.310990,1514.066,,
2006-03-15,17:34:01.310990,1518.04,,
2006-03-16,18:34:01.310990,1516.898,,
2006-03-17,19:34:01.310990,1495.324,,
2006-03-18,20:34:01.310990,1280.717,,
2006-03-19,21:34:01.310990,1160.078,,
2006-03-20,22:34:01.310990,1446.238,,
2006-03-21,23:34:01.310990,1470.34,,
2006-03-22,00:34:01.310990,1471.667,,
2006-03-23,01:34:01.310990,1456.0159999999998,,
2006-03-24,02:34:01.310990,1444.75,,
2006-03-25,03:34:01.310990,1231.0670000000002,,
2006-03-26,04:34:01.310990,1116.743,,
2006-03-27,05:34:01.310990,1400.9820000000002,,
2006-03-28,06:34:01.310990,1435.1520000000005,,
2006-03-29,07:34:01.310990,1438.405,,
2006-03-30,08:34:01.310990,1457.454,,
2006-03-31,09:34:01.310990,1429.0659999999998,,
2006-04-01,10:34:01.310990,1207.7690000000002,,
2006-04-02,11:34:01.310990,1110.0260000000003,,
2006-04-03,12:34:01.310990,1422.7889999999998,,
2006-04-04,13:34:01.310990,1436.6990000000003,,
2006-04-05,14:34:01.310990,1447.798,,
2006-04-06,15:34:01.310990,1432.8529999999996,,
2006-04-07,16:34:01.310990,1394.9799999999998,,
2006-04-08,17:34:01.310990,1195.9589999999998,,
2006-04-09,18:34:01.310990,1104.106,,
2006-04-10,19:34:01.310990,1408.1689999999996,,
2006-04-11,20:34:01.310990,1419.3009999999997,,
2006-04-12,21:34:01.310990,1425.7119999999998,,
2006-04-13,22:34:01.310990,1415.542,,
2006-04-14,23:34:01.310990,1118.3960000000002,,
2006-04-15,00:34:01.310990,1086.018,,
2006-04-16,01:34:01.310990,986.875,,
2006-04-17,02:34:01.310990,1009.094,,
2006-04-18,03:34:01.310990,1349.563,,
2006-04-19,04:34:01.310990,1368.456,,
2006-04-20,05:34:01.310990,1362.217,,
2006-04-21,06:34:01.310990,1333.266,,
2006-04-22,07:34:01.310990,1152.9429999999998,,
2006-04-23,08:34:01.310990,1042.414,,
2006-04-24,09:34:01.310990,1345.851,,
2006-04-25,10:34:01.310990,1359.8059999999998,,
2006-04-26,11:34:01.310990,1374.322,,
2006-04-27,12:34:01.310990,1384.681,,
2006-04-28,13:34:01.310990,1362.57,,
2006-04-29,14:34:01.310990,1167.24,,
2006-04-30,15:34:01.310990,1026.352,,
2006-05-01,16:34:01.310990,986.698,,
2006-05-02,17:34:01.310990,1329.8210000000004,,
2006-05-03,18:34:01.310990,1348.188,,
2006-05-04,19:34:01.310990,1348.3429999999998,,
2006-05-05,20:34:01.310990,1330.5199999999998,,
2006-05-06,21:34:01.310990,1115.442,,
2006-05-07,22:34:01.310990,998.308,,
2006-05-08,23:34:01.310990,1321.7820000000004,,
2006-05-09,00:34:01.310990,1353.2289999999998,,
2006-05-10,01:34:01.310990,1351.4,,
2006-05-11,02:34:01.310990,1337.502,,
2006-05-12,03:34:01.310990,1320.006,,
2006-05-13,04:34:01.310990,1123.9260000000002,,
2006-05-14,05:34:01.310990,1010.284,,
2006-05-15,06:34:01.310990,1317.8490000000002,,
2006-05-16,07:34:01.310990,1360.65,,
2006-05-17,08:34:01.310990,1346.0980000000002,,
2006-05-18,09:34:01.310990,1365.406,,
2006-05-19,10:34:01.310990,1348.465,,
2006-05-20,11:34:01.310990,1175.2729999999997,,
2006-05-21,12:34:01.310990,1050.17,,
2006-05-22,13:34:01.310990,1358.082,,
2006-05-23,14:34:01.310990,1374.495,,
2006-05-24,15:34:01.310990,1339.5649999999998,,
2006-05-25,16:34:01.310990,1053.351,,
2006-05-26,17:34:01.310990,1213.465,,
2006-05-27,18:34:01.310990,1108.266,,
2006-05-28,19:34:01.310990,1065.343,,
2006-05-29,20:34:01.310990,1349.2470000000003,,
2006-05-30,21:34:01.310990,1376.794,,
2006-05-31,22:34:01.310990,1380.175,,
2006-06-01,23:34:01.310990,1367.7510000000002,,
2006-06-02,00:34:01.310990,1323.2310000000002,,
2006-06-03,01:34:01.310990,1100.889,,
2006-06-04,02:34:01.310990,955.373,,
2006-06-05,03:34:01.310990,975.632,,
2006-06-06,04:34:01.310990,1306.362,,
2006-06-07,05:34:01.310990,1325.818,,
2006-06-08,06:34:01.310990,1328.5460000000005,,
2006-06-09,07:34:01.310990,1311.784,,
2006-06-10,08:34:01.310990,1114.5270000000005,,
2006-06-11,09:34:01.310990,1004.853,,
2006-06-12,10:34:01.310990,1329.591,,
2006-06-13,11:34:01.310990,1356.201,,
2006-06-14,12:34:01.310990,1352.0120000000002,,
2006-06-15,13:34:01.310990,1140.329,,
2006-06-16,14:34:01.310990,1254.9540000000002,,
2006-06-17,15:34:01.310990,1103.6199999999997,,
2006-06-18,16:34:01.310990,1007.067,,
2006-06-19,17:34:01.310990,1351.9890000000005,,
2006-06-20,18:34:01.310990,1369.8549999999998,,
2006-06-21,19:34:01.310990,1372.4890000000005,,
2006-06-22,20:34:01.310990,1360.5940000000005,,
2006-06-23,21:34:01.310990,1316.964,,
2006-06-24,22:34:01.310990,1114.3859999999995,,
2006-06-25,23:34:01.310990,1028.869,,
2006-06-26,00:34:01.310990,1345.3790000000004,,
2006-06-27,01:34:01.310990,1352.603,,
2006-06-28,02:34:01.310990,1340.042,,
2006-06-29,03:34:01.310990,1343.6370000000002,,
2006-06-30,04:34:01.310990,1298.103,,
2006-07-01,05:34:01.310990,1106.618,,
2006-07-02,06:34:01.310990,997.8960000000004,,
2006-07-03,07:34:01.310990,1327.143,,
2006-07-04,08:34:01.310990,1356.526,,
2006-07-05,09:34:01.310990,1377.781,,
2006-07-06,10:34:01.310990,1377.99,,
2006-07-07,11:34:01.310990,1360.061,,
2006-07-08,12:34:01.310990,1138.65,,
2006-07-09,13:34:01.310990,1018.423,,
2006-07-10,14:34:01.310990,1335.241,,
2006-07-11,15:34:01.310990,1360.2079999999996,,
2006-07-12,16:34:01.310990,1358.226,,
2006-07-13,17:34:01.310990,1361.493,,
2006-07-14,18:34:01.310990,1324.4589999999998,,
2006-07-15,19:34:01.310990,1093.7009999999998,,
2006-07-16,20:34:01.310990,993.289,,
2006-07-17,21:34:01.310990,1305.246,,
2006-07-18,22:34:01.310990,1333.029,,
2006-07-19,23:34:01.310990,1342.7080000000003,,
2006-07-20,00:34:01.310990,1351.823,,
2006-07-21,01:34:01.310990,1333.344,,
2006-07-22,02:34:01.310990,1136.6999999999998,,
2006-07-23,03:34:01.310990,1025.408,,
2006-07-24,04:34:01.310990,1330.5569999999998,,
2006-07-25,05:34:01.310990,1349.825,,
2006-07-26,06:34:01.310990,1356.6890000000003,,
2006-07-27,07:34:01.310990,1348.649,,
2006-07-28,08:34:01.310990,1327.514,,
2006-07-29,09:34:01.310990,1122.14,,
2006-07-30,10:34:01.310990,1010.922,,
2006-07-31,11:34:01.310990,1289.9260000000002,,
2006-08-01,12:34:01.310990,1303.0479999999998,,
2006-08-02,13:34:01.310990,1291.2190000000005,,
2006-08-03,14:34:01.310990,1284.0890000000002,,
2006-08-04,15:34:01.310990,1262.6449999999998,,
2006-08-05,16:34:01.310990,1087.245,,
2006-08-06,17:34:01.310990,994.466,,
2006-08-07,18:34:01.310990,1268.803,,
2006-08-08,19:34:01.310990,1286.8389999999995,,
2006-08-09,20:34:01.310990,1285.66,,
2006-08-10,21:34:01.310990,1294.0770000000002,,
2006-08-11,22:34:01.310990,1274.9889999999996,,
2006-08-12,23:34:01.310990,1088.709,,
2006-08-13,00:34:01.310990,985.9589999999998,,
2006-08-14,01:34:01.310990,1266.8439999999998,,
2006-08-15,02:34:01.310990,1282.2200000000005,,
2006-08-16,03:34:01.310990,1292.058,,
2006-08-17,04:34:01.310990,1298.8369999999995,,
