Year,Mo,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST,Troposphere
1978,12,-0.48,-0.51,-0.47,-0.44,-0.46,-0.42,-0.52,-0.62,-0.5,-0.6,-0.62,-0.59,-0.37,-0.44,-0.3,-0.46,-0.55,-0.45,-0.39,-0.68,-0.06,-0.45,-0.38,-0.49,-1.29,-1.15,-1.29,Lower
1979,1,-0.47,-0.64,-0.41,-0.64,-0.86,-0.5,-0.31,-0.13,-0.34,-0.47,-0.54,-0.45,-0.73,-0.93,-0.55,-0.23,0.12,-0.29,-0.46,-0.95,0.1,-0.16,-0.15,-0.16,-3.22,-2.42,0.92,Lower
1979,2,-0.43,-0.56,-0.39,-0.47,-0.57,-0.41,-0.39,-0.53,-0.37,-0.36,-0.25,-0.39,-0.54,-0.67,-0.42,-0.41,-0.69,-0.36,-2.01,-2.3,-1.66,-0.8,-1.25,-0.58,-1.76,-1.84,-0.3,Lower
1979,3,-0.38,-0.51,-0.33,-0.46,-0.51,-0.44,-0.3,-0.53,-0.26,-0.36,-0.43,-0.34,-0.53,-0.53,-0.52,-0.26,-0.59,-0.21,-0.56,-0.47,-0.65,-0.52,-1.25,-0.18,-0.7,-0.39,0.23,Lower
1979,4,-0.4,-0.57,-0.34,-0.47,-0.62,-0.37,-0.34,-0.46,-0.31,-0.35,-0.37,-0.34,-0.54,-0.72,-0.38,-0.33,-0.43,-0.31,-0.84,-0.81,-0.88,-0.26,0.26,-0.51,-0.72,-0.46,-1.12,Lower
1979,5,-0.4,-0.56,-0.33,-0.52,-0.54,-0.52,-0.27,-0.62,-0.19,-0.46,-0.55,-0.43,-0.54,-0.52,-0.56,-0.18,-0.7,-0.09,-0.77,-0.56,-1,0.05,-0.42,0.27,-0.82,-0.75,-1.1,Lower
1979,6,-0.39,-0.61,-0.31,-0.5,-0.61,-0.44,-0.29,-0.62,-0.22,-0.37,-0.49,-0.33,-0.55,-0.63,-0.48,-0.27,-0.74,-0.19,-0.76,-1.14,-0.33,-0.98,-1.62,-0.67,-0.62,-0.67,-0.56,Lower
1979,7,-0.31,-0.57,-0.21,-0.21,-0.33,-0.14,-0.41,-1.11,-0.26,-0.41,-0.55,-0.37,-0.15,-0.33,0.01,-0.37,-1.34,-0.2,-0.2,-0.38,0.01,-0.95,-2.18,-0.37,-0.16,-0.09,-1.16,Lower
1979,8,-0.4,-0.54,-0.35,-0.34,-0.37,-0.32,-0.46,-0.91,-0.36,-0.37,-0.35,-0.38,-0.36,-0.43,-0.3,-0.47,-1.17,-0.34,-0.26,-0.35,-0.15,-1,-1.67,-0.69,-0.74,-0.36,-1.05,Lower
1979,9,-0.32,-0.44,-0.28,-0.33,-0.31,-0.34,-0.32,-0.73,-0.23,-0.35,-0.42,-0.33,-0.33,-0.29,-0.36,-0.29,-0.95,-0.17,-0.18,-0.02,-0.35,-0.11,-0.65,0.15,0.61,0.68,-0.76,Lower
